"PSS EX1 Return for 2000-2001  Hampshire","...2","...3","...4","...5","...6","...7","...8"
"Data item description","Data item data","Enter Y if column B is based on average number of supported residents","Enter A if column B is an adjusted version of the source figure","Where used",NA,NA,"CIPFA 1999-2000 Actuals Activity cell"
NA,NA,NA,NA,"Unit costs rows","PAF Indicator(s)","BVPI(s)",NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"Services for children, adults and older people",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"KS1 (Data entry sheet)",NA,NA,NA,NA,NA,NA,NA
"Supported residents",NA,NA,NA,NA,NA,NA,NA
"Number of weeks* spent in residential and nursing care (both permanent and temporary) by",NA,NA,NA,NA,NA,NA,NA
"- row 57 (residents aged 65 and over)","208936",NA,NA,"2.1, 2.2","B12, B13","52",NA
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA,NA,NA
"- row 59 (learning disability)","50505",NA,NA,"2.1, 2.7","B12, B14","52",NA
"- row 60 (mental health problems)","7803",NA,NA,"2.1, 2.12","B12, B15","52",NA
"- row 61 (physical disability)","11147",NA,NA,"2.1, 2.17","B12, B16","52",NA
NA,NA,NA,NA,NA,NA,NA,NA
"Services for children",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"SSDA903 but on a 100% count basis",NA,NA,NA,NA,NA,NA,NA
"Count of total number of days during year that CLA spent in placements",NA,NA,NA,NA,NA,NA,NA
"- F1 to F6","191043",NA,NA,"1.1, 1.3","B8, B10","51","61, 65"
"- H3 to H5","33090",NA,NA,"1.1, 1.2","B8, B9","51","59, 63"
"- S1","10235",NA,NA,"1.1 (adj), 1.2 (adj)",NA,NA,NA
"Other",NA,NA,NA,NA,NA,NA,NA
"Count of total number of days during year that CLA spent in secure accommodation","114",NA,NA,"1.6000000000000001",NA,NA,"60, 64"
"Children and their families - number of referrals during year","17942",NA,NA,NA,NA,NA,"115"
"Children and their families - number of assessments during year","8127",NA,NA,NA,NA,NA,"116"
"Children and their families - number of reviews during year","677",NA,NA,NA,NA,NA,"117"
"Count of total number of days that CLA spent in foster placements",NA,NA,NA,NA,NA,NA,NA
"Own provision (codes F1, F2, F4, F5)","175472",NA,NA,"1.3999999999999999",NA,NA,"61"
"Provision by others (codes F3, F6)","15572",NA,NA,"1.5",NA,NA,"65"
"Number of nights children looked after spent in short term placements under Reg 13 of the Arrangement for Placement of Children Regulations 19991 (including in respite placements under Section 20)",NA,NA,NA,NA,NA,NA,NA
"- Foster placements",NA,NA,NA,"1.1 (adj), 1.3 (adj)",NA,NA,"58"
"- Children's homes",NA,NA,NA,"1.1 (adj), 1.2 (adj)",NA,NA,"57"
NA,NA,NA,NA,NA,NA,NA,NA
"Services for adults and older people",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"HH1",NA,NA,NA,NA,NA,NA,NA
"Table 1 line 4 column A (Total hours, LA)","13092",NA,NA,"2.22, 2.23","B17",NA,"20"
"Table 1 line 4 column B (Total hours, Independent sector)","38557",NA,NA,"2.22, 2.24","B17",NA,"22"
"Table 3B (Hhs receiving >10 hours and 6+ visits)","1170",NA,NA,"2.1000000000000001","B12","52",NA
"RAP",NA,NA,NA,NA,NA,NA,NA
"Table R1 Box 1 (Total screened contacts passed on for further assessment or commissioning of service)","26395",NA,NA,NA,NA,NA,"158,196,234,272,302"
"Clients with completed assessments",NA,NA,NA,NA,NA,NA,NA
"Table A1 Page 1 line 1 col 1 (18-64 pd)","2490",NA,NA,NA,NA,NA,"197"
"Table A1 Page 1 line 2 col 1 (18-64 ld)","817",NA,NA,NA,NA,NA,"235"
"Table A1 Page 1 line 3 col 1 (18-64 mh)","764",NA,NA,NA,NA,NA,"273"
"Table A1 Page 1 lines 4 + 5 col 1 (18-64 sm & ovp)","113",NA,NA,NA,NA,NA,"303"
"Table A1 Page 1 line 6 cols 2 + 3 + 4 (65+ col totals)","14878",NA,NA,NA,NA,NA,"159"
"Table A2 Box 1 (Number of clients with scheduled reviews during year)","28482",NA,NA,NA,NA,NA,"160,198,236,274,304"
"Receiving services at 31 March 2001",NA,NA,NA,NA,NA,NA,NA
"Table P2s Page 1# line 1 col 2 (18-64 pd home care)","727",NA,NA,"2.29",NA,NA,NA
"Table P2s Page 1# line 1 col 3 (18-64 pd day care)","443",NA,NA,"2.4700000000000002",NA,NA,NA
"Table P2s Page 1# line 7 col 1 (18-64 pd direct payments)","348",NA,NA,"2.3399999999999999",NA,NA,NA
"Table P2s Page 1# line 2 col 2 (18-64 ld home care)","456",NA,NA,"2.27",NA,NA,NA
"Table P2s Page 1# line 2 col 3 (18-64 ld day care)","1049",NA,NA,"2.4500000000000002",NA,NA,NA
"Table P2s Page 1# line 8 col 1 (18-64 ld direct payments)","27",NA,NA,"2.3199999999999998",NA,NA,NA
"Table P2s Page 1# line 3 col 2 (18-64 mh home care)","739",NA,NA,"2.2799999999999998",NA,NA,NA
"Table P2s Page 1# line 3 col 3 (18-64 mh day care)","714",NA,NA,"2.46",NA,NA,NA
"Table P2s Page 1# line 9 col 1 (18-64 mh direct payments)","0",NA,NA,"2.3300000000000001",NA,NA,NA
"Table P2s Pages 3 + 5 +7# line 6 col 2 (65+ home care)","5561",NA,NA,"2.2599999999999998",NA,NA,NA
"Table P2s Pages 3 + 5 +7# line 6 col 3 (65+ day care)","1843",NA,NA,"2.4399999999999999",NA,NA,NA
"Table P2s Pages 3 + 5 +7# line 6 col 4 (65+ meals)","1169",NA,NA,"2.5600000000000001",NA,NA,NA
"Table P2s Pages 3 + 5 +7# line 12 col 1 (65+ direct payments)","48",NA,NA,"2.3100000000000001",NA,NA,NA
"Table P2s Pages 1 + 3 + 5 + 7 +9 line 4 col 1 (all ages substance misuse total clients)","523",NA,NA,"2.5800000000000001",NA,NA,NA
"Table P2s Pages 1 + 3 + 5 + 7 +9 line 6 col 2 (all ages home care)","7513",NA,NA,"2.25",NA,NA,"19"
"Table P2s Pages 1 + 3 + 5 + 7 +9 line 6 col 3 (all ages day care)","4077",NA,NA,"2.4300000000000002",NA,NA,NA
"Table P2s Pages 1 + 3 + 5 + 7 +9 line 6 col 4 (all ages meals)","1320",NA,NA,"2.5499999999999998",NA,NA,NA
"Table P2s Pages 1 + 3 + 5 + 7 +9 line 12 col 1 (all ages direct payments)","433",NA,NA,"2.30",NA,NA,NA
"Table P2s Pages 2 + 4 + 6 + 8 + 10 line 7 col 1 (all ages asylum seekers total clients)","132",NA,NA,"2.5699999999999998",NA,NA,NA
"Receiving services at any time during year ended 31 March 2001",NA,NA,NA,NA,NA,NA,NA
"Table P2f Page 1# line 7 col 5 (18-64 pd equipment and adaptations)","2444",NA,NA,"2.52",NA,NA,NA
"Table P2f Page 1# line 8 col 5 (18-64 ld equipment and adaptations)","114",NA,NA,"2.50",NA,NA,NA
"Table P2f Page 1# line 9 col 5 (18-64 mh equipment and adaptations)","77",NA,NA,"2.5099999999999998",NA,NA,NA
"Table P2f Page 3# line 12 col 5 (65+ equipment and adaptations)","12356",NA,NA,"2.4900000000000002",NA,NA,NA
"Table P2f Pages 1 + 3 + 5 line 12 col 5 (all ages equipment and adaptations)","15004",NA,NA,"2.48",NA,NA,NA
"Other",NA,NA,NA,NA,NA,NA,NA
"Total meals provided by LA per week on average during year","23",NA,NA,"2.5299999999999998",NA,NA,"21"
"Total meals provided by independent sector per week on average during year","11064",NA,NA,"2.54",NA,NA,"23"
"Number of weeks supported residents spent in residential and nursing care (both permanent and temporary) by",NA,NA,NA,NA,NA,NA,NA
"residents aged 65 and over in nursing placements","72324",NA,NA,"2.2999999999999998",NA,NA,"123"
"residents aged 65 and over in own provision residential placements","45358",NA,NA,"2.4, 2.5",NA,NA,"121"
"residents aged 65 and over in residential placements provided by others","90468",NA,NA,"2.4, 2.6",NA,NA,"124"
"pd residents aged 18-64 in nursing placements","3893",NA,NA,"2.1800000000000002",NA,NA,"165 pt"
"pd residents aged 18-64 in own provision residential placements","1038",NA,NA,"2.19, 2.20",NA,NA,"163"
"pd residents aged 18-64 in residential placements provided by others","6208",NA,NA,"2.19, 2.21",NA,NA,"165 pt"
"ld residents aged 18-64 in nursing placements","1409",NA,NA,"2.7999999999999998",NA,NA,"203 pt"
"ld residents aged 18-64 in own provision residential placements","2990",NA,NA,"2.9, 2.10",NA,NA,"201"
"ld residents aged 18-64 in residential placements provided by others","45977",NA,NA,"2.9, 2.11",NA,NA,"203 pt"
"mh residents aged 18-64 in nursing placements","618",NA,NA,"2.1299999999999999",NA,NA,"239 pt"
"mh residents aged 18-64 in own provision residential placements","59",NA,NA,"2.14, 2.15",NA,NA,"241"
"mh residents aged 18-64 in residential placements provided by others","7084",NA,NA,"2.14, 2.16",NA,NA,"239 pt"
"Number of day care sessions per week on average during year",NA,NA,NA,NA,NA,NA,NA
"residents aged 65 and over, own provision","2124",NA,NA,"2.3500000000000001",NA,NA,"122"
"residents aged 65 and over, provision by others","3396",NA,NA,"2.3599999999999999",NA,NA,"125"
"pd residents aged 18-64, own provision","891",NA,NA,"2.4100000000000001",NA,NA,"164"
"pd residents aged 18-64, provision by others","629",NA,NA,"2.4199999999999999",NA,NA,"166"
"ld residents aged 18-64, own provision","6848",NA,NA,"2.3700000000000001",NA,NA,"202"
"ld residents aged 18-64, provision by others","2434",NA,NA,"2.3799999999999999",NA,NA,"204"
"mh residents aged 18-64, own provision","457",NA,NA,"2.3900000000000001",NA,NA,"240"
"mh residents aged 18-64, provision by others","198",NA,NA,"2.40",NA,NA,"242"
"Referrals between 1 April 2000 and 31 March 2001",NA,NA,NA,NA,NA,NA,NA
"Older people (aged 65 or over) including older mentally ill","30417",NA,NA,NA,NA,NA,"158"
"Adults aged under 65 with a physical disability or sensory impairment","6761",NA,NA,NA,NA,NA,"196"
"Adults aged under 65 with learning disabilities","627",NA,NA,NA,NA,NA,"234"
"Adults aged under 65 with mental health needs","2893",NA,NA,NA,NA,NA,"272"
"Reviews completed",NA,NA,NA,NA,NA,NA,NA
"Older people (aged 65 or over) including older mentally ill","7328",NA,NA,NA,NA,NA,"160"
"Adults aged under 65 with a physical disability or sensory impairment","1064",NA,NA,NA,NA,NA,"198"
"Adults aged under 65 with learning disabilities","1073",NA,NA,NA,NA,NA,"236"
"Adults aged under 65 with mental health needs","1851",NA,NA,NA,NA,NA,"274"
"Full cost paying residents*",NA,NA,NA,NA,NA,NA,NA
"Number of weeks spent in LA residential homes (both permanent and temporary placements) by",NA,NA,NA,NA,NA,NA,NA
"- residents aged 65 and over","8704",NA,NA,"2.1 (adj), 2.2 (adj), 2.4 (adj), 2.5 (adj)",NA,NA,NA
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA,NA,NA
"- learning disabilities","156",NA,NA,"2.1 (adj), 2.7 (adj), 2.9 (adj), 2.10 (adj)",NA,NA,NA
"- mental health problems","0",NA,NA,"2.1 (adj), 2.12 (adj), 2.14 (adj), 2.15 (adj)",NA,NA,NA
"- physical disabilities","0",NA,NA,"2.1 (adj), 2.17 (adj), 2.19 (adj), 2.20 (adj)",NA,NA,NA
"Preserved rights residents*",NA,NA,NA,NA,NA,NA,NA
"Number of weeks spent in LA residential homes (both permanent and temporary placements) by",NA,NA,NA,NA,NA,NA,NA
"- residents aged 65 and over","0",NA,NA,"2.1 (adj), 2.2 (adj), 2.4 (adj), 2.5 (adj)",NA,NA,NA
"- residents aged 18 to 64 with",NA,NA,NA,NA,NA,NA,NA
"- learning disabilities","0",NA,NA,"2.1 (adj), 2.7 (adj), 2.9 (adj), 2.10 (adj)",NA,NA,NA
"- mental health problems","0",NA,NA,"2.1 (adj), 2.12 (adj), 2.14 (adj), 2.15 (adj)",NA,NA,NA
"- physical disabilities","0",NA,NA,"2.1 (adj), 2.17 (adj), 2.19 (adj), 2.20 (adj)",NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"* Average number of residents multiplied by 52 may be used if number of weeks is not available; if this is used, please enter Y in column C.",NA,NA,NA,NA,NA,NA,NA
"# Also include your best estimate of those with age unknown (Page 5 of P2(f), Page 9 of P2(s))",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"For any items above for which you adjust a figure from the source shown (eg to allow for a distorting factor) and enter A in column D, give details below",NA,NA,NA,NA,NA,NA,NA
"Line no above","Source","Figure","Size of","Reason for adjustment",NA,NA,NA
NA,"figure","entered","adjustment",NA,NA,NA,NA
NA,NA,"above",NA,NA,NA,NA,NA
